,National Anthem,sentiment,na_len,Country,Word Count
Bulgaria (1944-1950),"   The collar of slavery hard   And darkness of grey fate   We crashed with fire and word   In cruel unequal fight.          Our people’s republic,   Our republic- Hail!   Today our land is free,   Today everyone lives free!       For us the freedom is sacred   And we will defend it with love.   The blood of the fighters is spilled,   On every Hallow and ditch.           For our and foreign tyrants,   Motherland, there is no space!   We remember the numerous wounds   The fascist bloody ter",NEUTRAL,584,Bulgaria (1944-1950),584
Burkina Faso,"   Against the humiliating bondage of a thousand years   Rapacity came from afar to subjugate them for a hundred years.   Against the cynical malice in the shape   Of neo-colonialism and its petty local servants.   Many gave in and certain others resisted.   But the frustrations, the successes, the sweat, the blood   Have fortified our courageous people and fertilized its heroic struggle.             And one single night has drawn together   The history of an entire people,   And one single night has launched its triumphal march.   Towards the horizon of good fortune.   One single night has brought together our people   With all the peoples of the World,   In the acquisition of liberty and progress.   Motherland or death, we shall conquer.       Nourished in the lively source of the Revolution,   The volunteers for liberty and peace   With their nocturnal and beneficial energies of the 4 of August   Had not only hand arms, but also and above all   The flame in their hearts lawfully to free   Faso forever from the fetters of those who   Here and there were polluting the sacred soul of independence and sovereignty.           And seated henceforth in rediscovered dignity,   Love and honour partnered with humanity,   The people of Burkina sing a victory hymn   To the glory of the work of liberation and emancipation.   Down with exploitation of man by man!   Forward for the good of every man   By all men of today and tomorrow, by every man here and always!          Popular revolution our nourishing sap.   Undying motherhood of progress in the face of man.   Eternal hearth of agreed democracy,   Where at last national identity has the right of freedom.   Where injustice has lost its place forever,   And where from the hands of builders of a glorious world   Everywhere the harvests of patriotic vows ripen and suns of boundless joy sh",NEUTRAL,1948,Burkina Faso,1948
Bulgaria (1950-1964),"   Bulgaria, dear, you’re the land of our heroes!   Incessant and mighty has surged your ascent.   The link with our brothers shall grow ever stronger;   The firm, soldier’s link with the Soviet land!         Hail, our Republic, we sing to your glory!   May you fore’er be a true shield of peace! –   But should an enemy storm o’er the country,   Lead us to battle, to glorious feats!        How great is the sun of our Lenin and Stalin,   Whose unequalled splendour throws light on our way!   The hearts which Dimitrov has fired are flaming   In struggle and work with so dazzling a ray!            We’re digging our mines, we are working and building,   We’re tilling in common the large tract of soil.   Our country, our beautiful country thus serving   With all that we have, with our lives and our to",NEUTRAL,895,Bulgaria (1950-1964),895
Bulgaria,"   Proud Balkan mountains,   next to them the Danube flows,   the sun sheds its light over Thrace,   shining over Pirin.        Dear native land,   you are paradise on earth,   your beauty and your charm,   ah, they never end.       Dear native land,   you are paradise on earth,   your beauty and your charm,   ah, they nev",NEUTRAL,414,Bulgaria,414
Cabo Verde,"   Sing, brother   Sing, my brother   For Freedom is a hymn   And Man a certainty.      With dignity, bury the seed   In the dust of the naked island:   In life ís precipice   Hope is as big as the sea    Which embraces us.   Unwavering sentinel of the seas and winds   Between the stars and the Atlantic ocean   Sing the Chant of Freedom.      Sing, brother   Sing, my brother   For Freedom is a hymn   And Man a ce",NEUTRAL,506,Cabo Verde,506
Cambodia (1970-1975),"   The Khmer Nation is famous in the world for their skill   and their victory and success in building great temples to morality   of the Noble and elevated Dhamma, the best of all national religions   The honor of our ancestors remains on the face of the earth.         Khmer, rise and awake   Khmer, rise and awake   Khmer, rise and awake   Struggle​ to build the glorious state        sneak into Cambodia to make horrifying attacks   Win the final victory of the Khmer Nation   in order to remain a great",NEUTRAL,597,Cambodia (1970-1975),597
Canary Islands,"   I am the shade of an almond tree,    I am volcano, saltpeter and lava.    Distributed in seven islands    the pulse of my soul beats.    I am history and future,    a heart that illuminates the dawn    over our islands that are set    for sailing towards hope.    Fighters in nobility    defend the bright pillar    of freedom.    This is our beloved soil:    my Canary Islands.    As a single one    to be together    dreams the dream of peace    on the wi",NEUTRAL,550,Canary Islands,550
Canada,"   O Canada! Land of our ancestors   Glorious deeds circle your brow   For your arm knows how to wield the sword   Your arm knows how to carry the cross;   Your history is an epic   Of brilliant deeds   And your valour steeped in faith   Will protect our homes and our rights,   Will protect our homes and our",NEUTRAL,399,Canada,399
Cambodia,"   Heaven protects our King   And gives him happiness and glory   To reign over our souls and our destinies,   The one being, heir of the Sovereign builders,   Guiding the proud old Kingdom.       Temples are asleep in the forest,   Remembering the splendour of Moha Nokor.   Like a rock the Khmer race is eternal.   Let us trust in the fate of Cambodia,   The empire which challenges the ages.       Songs rise up from the pagodas   To the glory of holy Buddhist faith.   Let us be faithful to our ancestors’ belief.   Thus heaven will lavish its bounty   Towards the ancient Khmer country, the Moh",NEUTRAL,689,Cambodia,689
Cameroon,"   O Cameroon cradle of our ancestors,   Go, stand and jealous of your freedom.   As the sun, your flag should also be proud,   A symbol of ardent faith and unity,   May all your children, North and South   From East to West, are all love!   May they serve you as their sole purpose   To fulfill their duty forever.           Dear Fatherland, dear land,   You are our only true happiness.   Our joy, our life   To you, love and honor.       Thou art the grave where our fathers sleep,   The garden that our ancestors have cultivated.   We work to make you prosperous   One day we finally arrived.   Africa’s children be faithful   And still progressing in peace   Hoping that your children   Boundless love you forever.          English lyrics    O Cameroon, thou cradle of our fathers,    Holy Shrine where in our midst they now repose,    Their tears and blood and sweat thy soil did water,    On thy hills and valleys once their tillage rose.    Dear Fatherland, thy worth no tongue can tell!    How can we ever pay thy due?    Thy welfare we will win in toil and love and peace,    Will be to thy name ever true!            Land of Promise, land of Glory!    Thou, of life and joy, our only store!    Thine be honour, thine devotion,    And deep endearment, for evermore.              From Shari, from where the Mungo meanders    From along the banks of lowly Boumba Stream,    Muster thy sons in union close around thee,    Mighty as the Buea Mountain be their team;    Instil in them the love of gentle ways,    Regret for errors of the past;    Foster, for Mother Africa, a loyalty    That true shall remain to the la",NEUTRAL,1714,Cameroon,1714
